date_and_time,lat,lon,speed
16-04-12 15:53:10:000,32.094905,34.978484,10
16-04-12 15:53:11:000,32.094909,34.978468,10
16-04-12 15:53:12:000,32.094905,34.978449,9
16-04-12 15:53:13:000,32.094918,34.978398,12
16-04-12 15:53:14:000,32.09492,34.978364,10
16-04-12 15:53:15:000,32.09491,34.978337,11
16-04-12 15:53:16:000,32.094903,34.978298,14
16-04-12 15:53:17:000,32.094899,34.978262,13
16-04-12 15:53:18:000,32.094893,34.978228,12
16-04-12 15:53:19:000,32.094905,34.978189,11
16-04-12 15:53:20:000,32.094907,34.978147,11
16-04-12 15:53:21:000,32.0949,34.978138,8
16-04-12 15:53:22:000,32.094899,34.978111,8
16-04-12 15:53:23:000,32.094893,34.978078,9
16-04-12 15:53:24:000,32.094891,34.978035,10
16-04-12 15:53:25:000,32.094894,34.978001,10
16-04-12 15:53:26:000,32.094876,34.97795,13
16-04-12 15:53:27:000,32.094864,34.977904,10
16-04-12 15:53:28:000,32.094861,34.97788,9
16-04-12 15:53:29:000,32.094844,34.977841,10
16-04-12 15:53:30:000,32.094827,34.977813,10
16-04-12 15:53:31:000,32.0948,34.977793,10
16-04-12 15:53:32:000,32.094796,34.977796,8
16-04-12 15:53:33:000,32.094788,34.977761,10
16-04-12 15:53:34:000,32.094789,34.97773,10
16-04-12 15:53:35:000,32.094784,34.977701,10
16-04-12 15:53:36:000,32.094791,34.977666,11
16-04-12 15:53:37:000,32.094768,34.977642,9
16-04-12 15:53:38:000,32.094747,34.977596,9
16-04-12 15:53:39:000,32.09474,34.977554,11
16-04-12 15:53:40:000,32.094724,34.977519,11
16-04-12 15:53:41:000,32.09472,34.977485,12
16-04-12 15:53:42:000,32.094716,34.977457,12
16-04-12 15:53:43:000,32.094696,34.977414,11
16-04-12 15:53:44:000,32.094686,34.977374,12
16-04-12 15:53:45:000,32.094677,34.977352,11
16-04-12 15:53:46:000,32.094682,34.977329,10
16-04-12 15:53:47:000,32.094672,34.977306,10
16-04-12 15:53:48:000,32.094641,34.977273,10
16-04-12 15:53:49:000,32.094623,34.977247,11
16-04-12 15:53:50:000,32.094595,34.977207,11
16-04-12 15:53:51:000,32.094568,34.977161,11
16-04-12 15:53:52:000,32.094569,34.977137,9
16-04-12 15:53:53:000,32.094551,34.977125,8
16-04-12 15:53:54:000,32.094531,34.977122,8
16-04-12 15:53:55:000,32.094533,34.977063,9
16-04-12 15:53:56:000,32.094519,34.97704,9
16-04-12 15:53:57:000,32.094511,34.977013,9
16-04-12 15:53:58:000,32.094504,34.976991,6
16-04-12 15:53:59:000,32.0945,34.976961,7
16-04-12 15:54:00:000,32.094482,34.976914,11
16-04-12 15:54:01:000,32.094465,34.976871,10
16-04-12 15:54:02:000,32.094466,34.976833,8
16-04-12 15:54:03:000,32.094462,34.976805,8
16-04-12 15:54:04:000,32.094453,34.976775,8
16-04-12 15:54:05:000,32.094436,34.976751,9
16-04-12 15:54:06:000,32.094425,34.976722,10
16-04-12 15:54:07:000,32.094415,34.976695,10
16-04-12 15:54:08:000,32.094385,34.976678,10
16-04-12 15:54:09:000,32.094363,34.976625,12
16-04-12 15:54:10:000,32.094358,34.976582,9
16-04-12 15:54:11:000,32.094344,34.976553,6
16-04-12 15:54:12:000,32.094329,34.976517,7
16-04-12 15:54:13:000,32.09433,34.976494,7
16-04-12 15:54:14:000,32.094316,34.976463,8
